,Unnamed: 0,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
162,162,239432879841619969,"Elias Jaua: Fuga de gas generó explosión en refinería de Amuay, dejando 26 muertos y más 86 heridos.",Government,['Official'],Related and informative
163,163,239443944411373568,RT @alcaldeledezma: Me pronuncié sobre #Amuay desde #Carapita donde estamos apoyando a familias afectadas por las lluvias! http://t.co/x ...,Government,['Official'],Related - but not informative
164,164,239456347001868288,RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/5WVlqyZt #Amuay,Government,['Official'],Related and informative
165,165,239461329830809600,Repetimos el teléfono de Protección Civil Falcón (0268)2511799. No ocupe las líneas telefónicas si no es una emergencia #Amuay,Government,['Official'],Related and informative
166,166,239463766704652288,MP designó fiscal nacional y equipo técnico para investigar explosión en refinería de Amuay http://t.co/j32Ob3ir,Government,['Official'],Related and informative
167,167,239464714625765376,RT @PDVSA: Ministro Rafael Ramírez da detalles del siniestro de Amuay. http://t.co/UNZtxX20 (Video) #Amuay,Government,['Official'],Related and informative
168,168,239474147607080960,RT @PDVSA: Vicepresidente Jaua: Trabajamos para garantizar la atención a las víctimas http://t.co/ZgsxniOO (Video) #Amuay,Government,['Official'],Related and informative
169,169,239485312831725570,RT @PDVSA: Presidente Chávez expresa dolor por la tragedia en Amuay y declara 3 días de duelo nacional http://t.co/lVfAhE5R (video) #Amuay,Government,['Official'],Related and informative
170,170,239489507148316672,RT @IzarraDeVerdad: Descartado falta de mantenimiento como causa de incendio en #Amuay http://t.co/8yIOcRf7,Government,['Official'],Related and informative
171,171,239500802425778176,RT @leopoldolopez: El lamentable accidente en la Refineria de Amuay  es consecuencia de la negligencia q se ha tenido con nuestra indust ...,Government,['Official'],Related - but not informative
172,172,239516065477046272,"RT @evagolinger: No se puede llegar a conclusiones aun sobre tragedia en #Amuay, pero no seria 1ra vez que hay saboteo contra el estado  ...",Government,['Official'],Related - but not informative
173,173,239523082556022784,Comunicado de la República Bolivariana de #Venezuela http://t.co/5G0xNUWo #Falcon,Government,['Official'],Related and informative
174,174,239544603538231296,Las autoridades trabajarán toda la noche del sábado y la madrugada del domingo hasta solventar la situación en la refinería de Amuay.,Government,['Official'],Related and informative
175,175,239565365313695746,El Vicepresidente Elías Jaua informó que aumentó a 39 la cifra de fallecidos por explosión en #Amuay.,Government,['Official'],Related and informative
176,176,239700384187310080,Ministerio Público reforzó equipo que investiga explosión en refinería de Amuay | http://t.co/LIFF7ahp http://t.co/O0ExnmeO,Government,['Official'],Related and informative
177,177,239730482504400897,RT @IzarraDeVerdad: Descartado falta de mantenimiento como causa de incendio en #Amuay http://t.co/8yIOcRf7,Government,['Official'],Related and informative
178,178,239737143046574080,RT @teleSURtv: Ministro de Petróleo y Minería venezolano: El mayor conocimiento del manejo de la refinería lo tenemos nosotros #Amuay,Government,['Official'],Related and informative
179,179,239790247137927168,"RT @VenezuelaPublic: #Explosión de #Amuay no fue por falta de mantenimiento, según trabajadores CRP http://t.co/jDDQRrtq #nacionales #de ...",Government,['Official'],Related and informative
180,180,239799877268283392,"Hugo Chávez, presidente de Venezuela, decretó 3 días de luto por los 26 trabajadores muertos en accidente de refinería",Government,['Official'],Related and informative
181,181,239799923401445377,¡Levantamos muy en alto el compromiso de nuestros trabajadores petroleros! http://t.co/NMCAg8Hy #Falcon #Venezuela,Government,['Official'],Related - but not informative
182,182,239818915184775169,#VARGAS Presidente Chávez realiza recorrido por la refinería de Amuay http://t.co/y6GRCYuX #ApaguenGloboVision,Government,['Official'],Related and informative
183,183,239824443285856257,RT @IvanPadillaB: Cerca de las 12 de la noche no había fuga de gas detectada en refinería de Amuay @chavezcandanga,Government,['Official'],Related and informative
184,184,239848669594124288,Venezuela's Chavez visits site of deadly refinery blast:,Government,['Official'],Related and informative
185,185,239853987975806976,Presidente Hugo Chávez visita la refinería de Amuay tras fatal accidente http://t.co/pvPijXGF,Government,['Official'],Related and informative
186,186,239876150690734081,RT @hcapriles: Comunicado a la opinión pública del @ComandoVENE por la explosión en #Amuay http://t.co/T7piVECv,Government,['Official'],Related and informative
187,187,240103775539441664,"Fuego en refinería Amuay es cuestión de horas: El ministro venezolano de Petróleo y Minería, Rafael Ramírez, com... http://t.co/PNP7PsBe",Government,['Official'],Related and informative
188,188,240107193897218048,CTMMagazine http://t.co/Wq2KsKGq GobiernoHumanista D @chavezcandanga #PSUV #PDVSA AMBULANCIA DE #AMUAY @globovision....,Government,['Official'],Related - but not informative
189,189,240107336520331264,FALCON: Fiscalía reforzó equipo que investiga explosión en refinería de Amuay.,Government,['Official'],Related and informative
190,190,240165851234459648,Chávez declara en el Hospital de Falcón #Amuay,Government,['Official'],Related and informative
191,191,240181516964093953,"Min. Ramírez: Mantenemos el concepto de ir atacando y confinando, tenemos todos nuestros bomberos en el sitio #Amuay",Government,['Official'],Related and informative
192,192,240182586545164290,RT @NOTIFALCON: Ministro Ramirez confirma incendio de tercer tanque en refineria Amuay. El incendió comenzó a las 2:15pm,Government,['Official'],Related and informative
193,193,240183333131284480,@BreakingNews: Venezuelan vice president says flames at refinery have spread to 3rd fuel tank - @AP http://t.co/V1kkn00e.,Government,['Official'],Related and informative
194,194,240295199400673284,Fiscal asegura que no hay desaparecidos en #Amuay  http://t.co/IG2LKEp8,Government,['Official'],Related and informative
195,195,240302472332210176,Refinería de Amuay reiniciará sus operaciones el viernes; según Ministro Ramírez (+ FOTOS) http://t.co/bq9Izi43,Government,['Official'],Related and informative
196,196,240306767282728961,"RT @teleSURtv: Presidente de #Venezuela @chavezcandanga informó que ha sido extinguido el fuego en Refinería de Amuay, ubicada en el nor ...",Government,['Official'],Related and informative
197,197,240325176074571777,"RT @Foro_TV: El presidente de Venezuela, Hugo Chávez, informa que han extinguido el fuego en uno de los 3 tanques en la refinería de Amuay.",Government,['Official'],Related and informative
198,198,240479564218916864,"La gran familia VIT agradece a nuestros héroes y heroínas,por su ardua labor en #Amuay.Para ellos,todos nuestro afecto",Government,['Official'],Related - but not informative
199,199,240487390802739200,RT @PDVSALaEstancia: La extinción del fuego en la refinería de Amuay en tan corto tiempo demuestra la eficiencia de nuestros trabajador@ ...,Government,['Official'],Related and informative
200,200,240488007357059072,"RT @ResteadosPdvsa Pendiente Rueda de prensa del Ministro Ramirez, en #Amuay #BravoPDVSA",Government,['Official'],Related and informative
201,201,240503186539024385,Palabras de Rafael Ramírez anoche #Amuay #Puntofijo “a las 8 de la noche del viernes se detectaron una fuga de olefinas e inmediatamente..,Government,['Official'],Related and informative
202,202,240507045290319872,RT @PDVSA: Investigaciones determinarán las causas del accidente en la refinería de Amuay http://t.co/S9MyjmhC,Government,['Official'],Related and informative
203,203,240516960654327808,"RT @ElUniversal: #LoDijoChavez: Anoche el ministro Ramírez informó que se había apagado el incendio en un tanque, el otro en 75% #Amuay",Government,['Official'],Related and informative
204,204,240520571924905984,(+Video) Ramírez: “Fuego en #Amuay fue extinguido totalmente”  http://t.co/q6gPWZmc,Government,['Official'],Related and informative
205,205,240520735527931904,Gobierno Bolivariano crea fondo especial para víctimas del accidente en la refinería de Amuay. http://t.co/c1CPwHrU,Government,['Official'],Related and informative
206,206,240522736210964480,Chávez: Ya no tenemos ningún tanque en llamas en #Amuay ahora estamos enfriando,Government,['Official'],Related and informative
207,207,240526091649949696,RT @fernandopara: Presidente Chávez hace un pase a la  entrega de viviendas a familias afectadas por explosión de #Amuay  #VENEZUELA 60  ...,Government,['Official'],Related - but not informative
208,208,240534689943805952,@chavezcandanga. Felicitaciones por la labor de ayuda y reconocimiento de los caídos en la refinería de Amuay #CorazonDeMiPatria,Government,['Official'],Related and informative
209,209,240534849356693504,RT @MaduroOfficial: La refinería de Amuay la reconstruiremos en tiempo record como la torre de parque central que se nos incendió!.... O ...,Government,['Official'],Related - but not informative
210,210,240538309657497600,: FOTO: Presidente Chávez destacó la labor de bomberos para extinguir el incendio en refinería de Amuay... http://t.co/3mV6Naid,Government,['Official'],Related and informative
211,211,240542000628236289,Activan línea 0800-TU AMUAY para atender a afectados por incidente en refinería: “Toda persona afectada en Parag... http://t.co/oJMjIqz5,Government,['Official'],Related - but not informative
212,212,240558647837614082,EL GOBIERNO NACIONAL INFORMO LA ENTREGA Entregan 60 viviendas a afectados por explosión de Refinería Amuay,Government,['Official'],Related and informative
213,213,240590402888015872,@PartidoPSUV Activan línea 0800-TU AMUAY para atender a afectados por incidente en refinería http://t.co/2TfIWLol,Government,['Official'],Related and informative
214,214,240600561509081089,RT @ChavezOfficial: Desd @Unahuelladeamor y @perritocallejer pueden auxiliar a todos los perritos afectados x la explosión d #Amuay #ElAutor,Government,['Official'],Related - but not informative
215,215,240885392512020481,Entonces ve camino a Yare! RT @laverdadweb: Chávez sobre #Amuay: El Gobierno asume su responsabilidad http://t.co/IcbHx6bb,Government,['Official'],Related and informative
216,216,240901658018709504,@PDVSALaEstancia les hace llegar su más sentida condolencia y solidaridad para todos los afectados de la Refinería Amuay.,Government,['Official'],Related - but not informative
217,217,241169678234435584,Tras completar arranque seguro refinería Amuay producirá 635 mil barriles diarios de combustible http://t.co/fVikFpG0,Government,['Official'],Related and informative
218,218,241179828450099200,Ramírez: El Ministerio Público tiene autonomía. El cinismo es libre. Investigarán de acuerdo a lo que les indiquen las encuestas #Amuay,Government,['Official'],Related and informative
219,219,241644519580372993,Chávez comparó la explosión en la refinería de Amuay con una bomba atómica http://t.co/j25sfqKu   #NotiWTF  via @OPYMORALES,Government,['Official'],Related and informative
220,220,242287720272101377,Ramírez asegura que refinería de Amuay arranca con normalidad http://t.co/wsQx1raJ,Government,['Official'],Related and informative
221,221,242676217675931648,12:58 PM : Gobierno informa sobre trabajos de recuperación tras explosión en refinería Amuay http://t.co/04v6TWAB,Government,['Official'],Related and informative
222,222,389920120119635969,National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters,Government,['Official'],Related and informative
223,223,389931587363565570,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/YVFyXT1ltJ",Government,['Official'],Related and informative
224,224,389941670466166784,Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews,Government,['Official'],Related and informative
225,225,390003620332068865,RT @cebugovph: #Cebu Coast Guard Station suspends vessels out-bound Cebu due to aftershocks every 20 to 30 minute intervals.,Government,['Official'],Related and informative
226,226,390043055182467072,"Orange earthquake alert (Magnitude 5.9M, Depth:20.15km) in Philippines 15/10/2013 08:42 UTC, 6700945 people wi... http://t.co/r1w7rVS184",Government,['Official'],Related and informative
227,227,390044435104280576,RT @ilovejamich: The historical Loboc Church in Bohol :( Before &amp; after #earthquake #PrayForVisayas God bless the Philippines http://t.co/Y…,Government,['Official'],Related - but not informative
228,228,390068594286919680,"Earthquake : M 4.6, 11km NNW of San Isidro, Philippines: Tuesday, October 15, 2013 10:07:24 UTC Tuesday, October... http://t.co/pBjJwPKWsP",Government,['Official'],Related and informative
229,229,390079889564393472,"MMDA teams to help in rescue work in quake-battered areas in Bohol, Cebu:   The... http://t.co/UhhZUegXd2 #Manila #Philippines",Government,['Official'],Related and informative
230,230,390297611669757952,"RT @dost_pagasa: THUNDERSTORM ADVISORY No.8 #VPRSD  9:53AM (16OCT'13)    Expect thunderstorm over #Cebu ( Pinamungahan,... http://t.co/CoYo…",Government,['Official'],Related and informative
231,231,390450879926927361,"RT @dost_pagasa: THUNDERSTORM ADVISORY No.21 #VPRSD  8:14PM (16OCT'13)    Thunderstorm affecting over #Bohol (Dauis, Panglao) w/c... http:/…",Government,['Official'],Related and informative
232,232,390466856051822592,"RT @dost_pagasa: THUNDERSTORM ADVISORY No.23 #VPRSD  9:08PM (16OCT'13)    Expect thunderstorm over #Bohol (Bein Unido, Trinidad,... http://…",Government,['Official'],Related and informative
233,233,390554915451727872,Philippines: UN agencies arriving to assist with post-quake relief effort http://t.co/PZe3NTx5Z7,Government,['Official'],Related and informative
234,234,390687472251711488,RT @VPJojoBinay: Ito po ang mga pagkakataon na nasusubok ang  mga Pilipino. Pero babangon po tayo. #PrayForVisayas,Government,['Official'],Related - but not informative
235,235,390761287786852354,RT @SenatorBinay: Thank you @DickGordonDaily for speedily sending medical and rescue teams to #Bohol. @philredcross here providing assistan…,Government,['Official'],Related and informative
236,236,391099180938452992,Yesterday @ DSWD Region VII Office! ツ #Volunteer #ReliefGoods #Repacking #Bohol #Earthquake http://t.co/mNXolGUEQM,Government,['Official'],Related and informative
237,237,391478975169445888,"RT @dost_pagasa: THUNDERSTORM ADVISORY No.10#VPRSD  4:19PM (19OCT'13)    Expect thunderstorm over  #Bohol (Bilar, Loboc, Dimiao) &amp;... http:…",Government,['Official'],Related and informative
238,238,391816675344932864,#Cebu Gov. Hilario Davide said all public schools in Cebu Province will also resume on Nov. 4. #earthquakePH | @cebudailynews,Government,['Official'],Related and informative
239,239,391995818275639298,[DOST-PAGASA] THUNDERSTORM ADVISORY No.9 #VPRSD  11:41PM (20OCT'13)  Expect thunderstorm over #Cebu (Balamaban... http://t.co/LoKHQElQnn,Government,['Official'],Related and informative
240,240,392057621320302593,"PAGASA: THUNDERSTORM ADVISORY No.6 #VPRSD 6:35AM (21OCT'13) Thunderstorm affecting over #Bohol (Calape, San Isid... http://t.co/QIBf1OjAIY",Government,['Official'],Related and informative
241,241,392158095868436480,RT @govph: #ReliefPH and rehab efforts for areas affected by #earthquakePH are ongoing. Click on this link for updates: http://t.co/A6N7942…,Government,['Official'],Related and informative
242,242,392163317806272512,"PAGASA: THUNDERSTORM ADVISORY No.11 #VPRSD 1:30PM (21OCT'13) Expect thunderstorm over #Bohol(Dagohoy, Pilar) an... http://t.co/pcKKJI02x1",Government,['Official'],Related and informative
243,243,295524162888409088,"RT @ebcnarede: Segundo o Corpo de Bombeiros, a maioria das mortes na Boate Kiss foi causada por asfixia devido à inalação de fumaça http ...",Government,['Official'],Related and informative
244,244,296959638253998080,"Prefeitura interdita boate em campus, mas fecha os olhos para a Kiss http://t.co/FxJxN7ko",Government,['Official'],Related and informative
245,245,297010439672442882,"Mesmo com reação do deputado Paulo Pimenta (PT), boatos sobre Boate Kiss continuam nas redes sociais e em sites.",Government,['Official'],Related - but not informative
246,246,297050365235429377,Justiça nega pedido de liberdade provisória a sócio da boate Kiss http://t.co/2P1XqwUU,Government,['Official'],Related and informative
247,247,297774369227284481,RT @InstitucionalMS: #FotoSUS: #FNSUS em #SantaMaria recebe 140 kits do medicamento Hidroxicobalamina do governo norte-americano. http:/ ...,Government,['Official'],Related and informative
248,248,298750207607336960,Secretário de Segurança do RS diz que Boate Kiss não poderia funcionar http://t.co/tbs5z3U7 #brasil via @JornaldoBrasil,Government,['Official'],Related and informative
249,249,298953853653635072,Secretário da Saúde anuncia rede de assistência a feridos na boate Kiss http://t.co/f1L9hmvA,Government,['Official'],Related and informative
250,250,298954432480174080,Secretário da Saúde anuncia rede de assistência a feridos na boate Kiss: Todos que tiverem alta serão acompanhad... http://t.co/H1aetxVD,Government,['Official'],Related and informative
251,251,378097819992592384,#BREAKING: @CUBoulderPolice say Approx. 400-500 #CUBoulder Family Housing residents evacuated.  #boulderflood #9NewsMornings,Government,['Official'],Related and informative
252,252,378173116125413376,"Sheriff Pelle: We are trying desperately to get help to people, but we're continually frustrated. #COFlood",Government,['Official'],Related and informative
253,253,378174277947645952,RT @BoulderOEM: City of #Boulder / Boulder County public info call center: 303-413-7730. Impacted residents can call for info. #Boulderflood,Government,['Official'],Related and informative
254,254,378179877368631296,RT @CUBoulderPolice: #cuboulder campus will also be closed tomorrow (9/13) due to #boulderflood. #cowx,Government,['Official'],Related and informative
255,255,378198986597093376,Sheriff: 3rd person killed in Colorado flooding http://t.co/IBdDzS4348,Government,['Official'],Related and informative
256,256,378205533913632769,"Stay informed, stay safe! #COFlood twitter list via @COEmergency: https://t.co/3ht69SK9wO #CCCF #BoulderFlood #waldoflood #COWX",Government,['Official'],Related and informative
257,257,378213377262108672,@cityoflongmont ordering mandatory evacuations in the Southmoor Park neighborhood. #COFlood,Government,['Official'],Related and informative
258,258,378213599551832065,RT @CUBoulder: SEEK HIGHER GROUND IMMEDIATELY: Wall of water coming down Boulder Canyon. Move away from Boulder Creek! #BoulderFlood,Government,['Official'],Related and informative
259,259,378213784101203968,CU ALERT: Wall of water coming down Boulder Canyon. STAY AWAY FROM BOULDER CREEK. Seek higher ground immediately. #boulderflood,Government,['Official'],Related and informative
260,260,378217953256157185,City of #Boulder Emergency Declaration: http://t.co/EVesFaAPHF #BoulderFlood -@CNNEditorChuck,Government,['Official'],Related and informative
261,261,378224748016058368,RT @CUBoulderPolice: About 40 #CUBoulder buildings damaged (most w/ minor water damage). About 25% of campus buildings. #BoulderFlood #cowx,Government,['Official'],Related and informative
262,262,379254877488041984,RT @CONG1860: 5 #NationalGuard helos &amp; crews from @wyoguard joining @CONG1860 and @USArmy #4thID in #COflood evacuation efforts today.,Government,['Official'],Related and informative
263,263,379262125211795457,"RT @breakingstorm: 482 people unaccounted for in Larimer County, Colorado, after flooding - @LarimerSheriff http://t.co/OE8z7OaPa3",Government,['Official'],Related and informative
264,264,379287374947041280,RT @bouldercounty: Road closure map for Boulder County Roads #boulderflood #coflood http://t.co/UHwcYq8zx3,Government,['Official'],Related and informative
265,265,379288075387420672,"RT @femaregion8: The *best way* to help #coflood survivors, first visit http://t.co/vE6LB9zvCi . This is how you make the greatest impact. …",Government,['Official'],Related and informative
266,266,379295625155575808,Colorado flooding doesn't stop Postal Service http://t.co/na58Mmy3an,Government,['Official'],Related and informative
267,267,379306253501341696,#COflood Releases from Olympus Dam have increased to 1100 cfs. We have seen rain at Estes. Rain inflows to Lake... http://t.co/aoKTSgyyQn,Government,['Official'],Related and informative
268,268,379319536878510082,"RT @femaregion8: If it's not safe for you, it's not safe for your pets.  Take them with you. #COpets #COflood",Government,['Official'],Related and informative
269,269,379322103763185664,"RT @femaregion8: If it's not safe for you, it's not safe for your pets.  Take them with you. #COpets #COflood",Government,['Official'],Related and informative
270,270,379326998541107200,"Flooding by #UCCS has moved traffic cones into middle of traffic on Austin Bluffs by Union, stay safe out there!  #coflood",Government,['Official'],Related and informative
271,271,379378525557383169,"The Colorado Office of Emergency Management estimates nearly 19,000 homes are damaged or destroyed. #coloradoflood",Government,['Official'],Related and informative
272,272,379380798882709504,"RT @CherylPreheim: Heart wrenching @COEmergency reports 11,700 evacuated.  17,494 housing structures damaged, 1502 homes destroyed. #coflood",Government,['Official'],Related and informative
273,273,379387966948257792,.RT @CUBoulderPolice: #BREAKING: Raw sewage flowing from pipe north of Space Sciences (East CU Campus) near footpaths. Avoid area. #COflood,Government,['Official'],Related and informative
274,274,379447492498059264,MT @MVFireRescue Water distribution to start at 8am tomorrow. 3561 Stagecoach Rd #Longmont (MVFR's new admin bldg). #Longmontflood #coflood,Government,['Official'],Related and informative
275,275,379625502970871808,INFOGRAPHIC: Colorado Flooding Impact Map @firechiefmag #firechief #wildfire http://t.co/uETLlBCvwU,Government,['Official'],Related and informative
276,276,379669652177420290,"#COflood: Colorado National Guard has evacuated 2,200 people and 500 pets so far",Government,['Official'],Related and informative
277,277,379676857991323648,"RT @femaregion8: Individuals impacted by #COflood in Adams, Boulder, Larimer &amp; Weld counties – apply for @fema assistance at http://t.co/Ug…",Government,['Official'],Related and informative
278,278,379679601070702592,"RT @greeleygov: DISASTER ASSISTANCE: if you've sustained losses or damages due to the #coflood, call 1-800-621-FEMA (3362) http://t.co/MHCF…",Government,['Official'],Related and informative
279,279,379685250810773505,RT @femaregion8: Official accts to follow for #COflood updates: @COEmergency @BoulderOEM @RedCrossDenver @LarimerSheriff @bouldercounty @je…,Government,['Official'],Related and informative
280,280,379694289535524864,"Be prepared for floods, other emergencies. Stay up to date with vaccinations. Recommendations: http://t.co/mN1ILCIo0R #COFlood #cohealth",Government,['Official'],Related and informative
281,281,379722416533946368,RT @COEmergency: To register for FEMA disaster assistance: http://t.co/dpdM9XkA4U #COflood,Government,['Official'],Related and informative
282,282,379831367795630080,"RT @USArmy: #Soldiers have rescued more than 2,100 people &amp; hundreds of pets displaced by Colorado floods http://t.co/p6a9phC8or @CONG1860",Government,['Official'],Related and informative
283,283,379918454104408064,MT @COEmergency Colorado 2-1-1 Recovery and Relief Guides http://t.co/VyeHrWp5Un … #COflood #hmrd ^CB,Government,['Official'],Related and informative
284,284,379928767889960960,RT @TotalTrafficDEN: #Boulder closed on Hwy 287 NB at CO-7 and CO-52 in #Longmont #COtraffic http://t.co/V8oA4oBJqC,Government,['Official'],Related and informative
285,285,379988071170985984,Yesterday our UH-60 crews assisting w/ #coflood rescued 26 people and more than 20 animals - including a turtle! #nationalguard,Government,['Official'],Related and informative
286,286,380003518779650048,#COflood update in @LarimerCounty: We have optimism today... that we'll be able to go at the same rate as yesterday. Incident Command Team,Government,['Official'],Related and informative
287,287,380003913060990976,Colorado Office of Emergency Management downgrades to 648 unaccounted for people http://t.co/vQZwMzXAPf #COflood,Government,['Official'],Related and informative
288,288,380009273377308674,#COflood update in @bouldercounty: Re-entry passes available for Lyons residents tomorrow-- dawn to dusk entry,Government,['Official'],Related and informative
289,289,380011475391107074,"#COflood update on @bouldercolorado: Crews have cleared a large amount of debris - at max capacity at water treatment plant, per Huntley",Government,['Official'],Related and informative
290,290,380043050111598592,"#Aurora water officials said Aurora received about 15 inches of rainfall in a week, the same average yearly amount. #cowx #coflood",Government,['Official'],Related and informative
291,291,380062608159559680,.RT @bouldercounty: See tags/flags at home? LEAVE THEM IN PLACE. They're 4 search &amp; rescue http://t.co/2YNQ9y6Pav #boulderflood #COFlood,Government,['Official'],Related and informative
292,292,380074125726711808,RT @SarCharLand: Interested in continued updates on #oilandgas and #coflood? Visit http://t.co/V6ACD2LJ55 or email info@coga.org - thanks #…,Government,['Official'],Related and informative
293,293,380099014697304064,RT @COEmergency: .RT @AuroraGov: Good health advice from Aurora's own University of Colorado Hospital! http://t.co/73Ji17FjR5 #COFlood #COP…,Government,['Official'],Related and informative
294,294,380109655659139072,RT @Colorado: Our thoughts are with those who have been impacted by the recent flooding in Colorado. Resource info. here: http://t.co/b7YAi…,Government,['Official'],Related - but not informative
295,295,380314362856357888,i360SLGov: FEMA Continues to Support Response to Colorado Flooding http://t.co/oQpftTu3yJ,Government,['Official'],Related and informative
296,296,380348735189835776,#BREAKING #COflood: Helicopters from Ft. Carson and @CONG1860 have evacuated 1162 people in  @bouldercounty - per Mitch Utterback,Government,['Official'],Related and informative
297,297,380361167111061504,10 choppers on scene today in @LarimerSheriff . Drawing down resources in @TownofEstesPark . Access opening up along Highway 7 #coflood,Government,['Official'],Related and informative
298,298,380373376709033984,"RT @CDPHE: #COFlood Boil water advisories still in place for Lyons, Mountain Meadow (Allenspark), and Firestone. #cohealth",Government,['Official'],Related and informative
299,299,380426812159164416,Flood Recovery Resources – from City of# LafayetteCO http://t.co/iO1w1xuaF8 #coflood #boulderflood,Government,['Official'],Related and informative
300,300,380485826016051201,RT @COEmergency: Well Owners within Colorado Flood Areas http://t.co/eTrJntwsKe #COFlood,Government,['Official'],Related and informative
301,301,380486325113462784,@BoulderOEM public info hours now 7 a.m to 9 p.m as situation transitions to long term recovery http://t.co/8G6IuzKJww #Boulderflood,Government,['Official'],Related and informative
302,302,380748745945919488,RT @Cal_OES: RT @femaregion8: 9/19 How Colorado state agencies are supporting #COflood response http://t.co/6jp94ZYUGD (via @COEmergency),Government,['Official'],Related and informative
303,303,380761307882217472,"#COFlood Are you in #Evans, Colo. and need a place to shower due to the no flush order in your city? Here's a... http://t.co/L3IkZdRPwY",Government,['Official'],Related and informative
304,304,380777229459808256,"RT @TimesCall: #Longmont under state of emergency until Oct. 10. City manager can order evacuations, curfews. #longmontflood  http://t.co…",Government,['Official'],Related and informative
305,305,380777984455475200,RT @SenBennetCO Suffered damage from #coflood? Register w/ FEMA for disaster assistance http://t.co/Lti7AeKB8a or call 1-800-621-FEMA Plz RT,Government,['Official'],Related and informative
306,306,380866853348061184,The Disaster Distress Helpline 1-800-985-5990 provides crisis counseling to people affected by flooding. #coflood http://t.co/w9w4gwpkkS,Government,['Official'],Related and informative
307,307,380915150770823169,"Officials: Some #Boulder roads will be closed for weeks, months, longer. #Boulderflood http://t.co/wnbp2REdTi via @JoeCarmenRubino",Government,['Official'],Related and informative
308,308,381044117217611776,RT @NASA: Colorado flooding near Greeley: comparison view from Landsat 8. http://t.co/r8wS1SXk60 @NASA_Landsat @USGSLandsat @NASA_EO,Government,['Official'],Related and informative
309,309,381044595389247488,RT @NASA: Colorado flooding near Greeley: comparison view from Landsat 8. http://t.co/r8wS1SXk60 @NASA_Landsat @USGSLandsat @NASA_EO,Government,['Official'],Related and informative
310,310,381048261186191361,RT @NASA: Colorado flooding near Greeley: comparison view from Landsat 8. http://t.co/r8wS1SXk60 @NASA_Landsat @USGSLandsat @NASA_EO,Government,['Official'],Related and informative
311,311,381071879336783872,RT @NASA: Colorado flooding near Greeley: comparison view from Landsat 8. http://t.co/r8wS1SXk60 @NASA_Landsat @USGSLandsat @NASA_EO,Government,['Official'],Related and informative
312,312,381075197010272257,RT @NASA: Colorado flooding near Greeley: comparison view from Landsat 8. http://t.co/r8wS1SXk60 @NASA_Landsat @USGSLandsat @NASA_EO,Government,['Official'],Related and informative
313,313,381268151771492352,RT @COEmergency: .@FloodDSS: Summary of Federal Aid for Private Water Infrastructure. http://t.co/uC5GXF41Vx #coflood,Government,['Official'],Related and informative
314,314,381282261426909184,Flood Cleanup Guidance from Colo. Dept. of Pub. Health #coflood http://t.co/falV1EDw0a,Government,['Official'],Related and informative
315,315,381430794319056896,Select @bouldercounty parks are now open to the public! Staff is working hard to assess &amp; repair #boulderflood damage http://t.co/Ye6RhGBU55,Government,['Official'],Related and informative
316,316,381463287591747584,"Boulder County officials say another person has been found dead from the Colorado floods,... http://t.co/d7NHZyUjAv #Denver #Colorado",Government,['Official'],Related and informative
317,317,381613745660641281,RT @ColoradoDOT: #coflood CDOT opened 7 highways between yesterday &amp; today following flood repairs thanks to maintenance crews &amp; contractors,Government,['Official'],Related and informative
318,318,381798995460247553,RT @femaregion8: Mold is the scourge of flood cleanup. This 8-pg brochure can truly help: http://t.co/VhBHqJBDvq  #COflood,Government,['Official'],Related and informative
319,319,381956181205712897,"RT @boulderoem: If you lost important documents in the flood, we have resources to help replace them: http://t.co/nWBFmVJzWC #boulderflood",Government,['Official'],Related and informative
320,320,382144954237063169,"To all the Colorado cities that didn't vote yes for amendment 64, maybe you should rethink that! We need the revenue!  #COschools #COflood",Government,['Official'],Related and informative
321,321,382268874969739265,"VP Joe Biden: If government shuts down, FEMA will still deliver aid  http://t.co/f6ziNN0z6O via @denverpost @finleybruce #coflood",Government,['Official'],Related and informative
322,322,382498987087253504,VP Biden speaking with a #COflood survivor in Greeley (9/23) http://t.co/qWVTtf7mkm,Government,['Official'],Related and informative
323,323,382595506381152256,"RT @femaregion8: For immediate, short-term #COflood legal assistance, go to http://t.co/NWJuzVkwPn, or call toll-free 855-424-5347. @FEMA",Government,['Official'],Related and informative
324,324,383033748260147200,RT @GVolesky: #USArmy Heroic efforts of Fort Carson MedEvac company save lives in Colorado floods http://t.co/Ir6WFdldNM @FortCarsonArmy @F…,Government,['Official'],Related and informative
325,325,383074177122459648,"RT @femaregion8: In the aftermath of #COflood, dealing with difficult emotions can be tough, but you are not alone! Call Helpline 24/7 at 1…",Government,['Official'],Related and informative
326,326,383375625982984192,RT @BigEasyMike1981: @VP: VP Biden #COflood @whitehouse: http://t.co/njOrq6kbel great team VP handling national issues and President hand…,Government,['Official'],Related and informative
